theme_name,set_name,prod_long_desc,list_price,piece_count,ages,review_difficulty
Disney™,The Disney Castle,"Bring the magical world of Disney to your home with The Disney Castle. This highly detailed LEGO® model with over 4,000 pieces offers a rewarding build and play experience, and comes with an array of exciting Disney-themed features and functions. The intricately detailed facade and towers replicate the iconic Walt Disney World® Resort Cinderella Castle, and each accessible castle room includes special features inspired by some of Disney’s greatest animated feature films, providing endless play possibilities with the included minifigures: Mickey Mouse, Minnie Mouse, Donald Duck, Daisy Duck and Tinker Bell, or other characters from your collection.
Includes 5 minifigures: Mickey Mouse with a tuxedo, Minnie Mouse with red dress, Donald Duck with classic outfit, Daisy Duck with pink skirt, lavender colored shoes and a bow, and Tinker Bell with wig element, skirt, wings and a magic wand.
The Disney Castle features a detailed facade with a stone bridge, clock, wide arched entrance, ornate balconies, spired towers, plus a four-story main building and a five-story, golden-spired main tower, both containing rooms with assorted Disney-inspired features and elements.
Castle main building first floor features the main hall with large arched doorway, mosaic floor tiling, ornate chandelier, suits of armor, shield-decorated walls, grandfather clock, floor-standing vase with buildable flower elements, magic carpet and a golden lamp.
Castle main building second-floor room features buildable dark-blue curtains with curtain pole, ornate buildable candelabra and rose, and glass case elements.
Castle main building third-floor room features a chest with book of spells, mop and bucket elements, and access to the main tower second-floor room.
Castle main building fourth-floor bedroom features a detailed bed with decorative golden headboard elements.
Main tower first-floor kitchen features a large redbrick-patterned stove, workbench, buildable broom and pumpkin, plus pots, pans and assorted kitchen and food elements.
Main tower second-floor room includes a spinning wheel and access to the castle main building third-floor room.
Main tower third-floor room features a chest containing brush, scissor and lock of black hair elements, plus a balcony with 2 stud shooters for a firework-display function.
Main tower fourth-floor room features a golden mirror, plus red apple and glass vase elements.
Main tower fifth-floor room features a window bench and an arched window.
Also includes 2 frogs and a golden crown element.
Remove part of the roof section to discover the glass slipper element and fairy-tale book element with printed cover.
Launch the fireworks and let the magic begin!
Combine with other LEGO® minifigure characters for endless adventures!
This set offers an age-appropriate building experience for ages 16 and over.
This set includes over 4,000 LEGO® pieces.
The Disney Castle measures over 29” (74cm) high, 18.8” (48cm) wide and 12” (31cm) deep.",349.99,4080.0,16+,Challenging
Disney™,Silent Mary,"Bring the magic of Disney’s Pirates of the Caribbean to your home with this impressive replica of the Silent Mary ghost ship. This highly detailed LEGO® model with over 2,200 pieces features a hinged bow section, opening skeleton hull with decay and destruction detailing, movable rudder, collapsible main mast and two further masts, long bowsprit with crow’s nest and mast, tattered sails, detailed quarterdeck, plus a rowboat with two oars and an array of weapons and accessory elements. This model provides a rewarding build and play experience, and the integrated stand makes it suitable for display in the home or office. Also includes eight minifigures: Captain Jack Sparrow, Henry, Carina, Lieutenant Lesaro, Captain Salazar, Officer Magda, Officer Santos and the Silent Mary Masthead, plus two detachable ghost sharks.
Includes eight minifigures: Captain Jack Sparrow, Henry, Carina, Lieutenant Lesaro, Captain Salazar, Officer Magda, Officer Santos and the Silent Mary Masthead, plus two detachable ghost sharks.
Features a hinged bow section, opening skeleton hull with decay and destruction detailing, movable rudder, three masts including a collapsible main mast, long bowsprit with crow’s nest and mast, tattered sails, detailed quarterdeck, plus a rowboat with two oars.
Weapons include two gray swords, three black swords and a pistol.
Also includes the Silent Mary Masthead’s shield and sword elements.
Accessory elements include a compass, sextant, monocular, two brooms and a ship-in-a-bottle.
Special elements include Captain Salazar’s hairpiece and a decorated Galileo Diary with printed cover and astronomy page.
Raise the hinged bow section and open the skeleton hull to switch from sailing mode to attack mode.
Open the mid-hull section to access and release the ghost sharks.
This set includes over 2,200 pieces.
The Silent Mary with the main mast in vertical position measures over 18” (48cm) high, 26” (68cm) long and 8” (22cm) wide, and over 14” (36cm) wide with the main mast collapsed.",199.99,2294.0,14+,Average
Disney™,Elsa's Magical Ice Palace,"Build a grand and glittering Ice Palace for Elsa and feel the magic and adventure with the special sliding bridge and revolving staircase functions. There’s so much detail inside and out to help recreate scenes from Disney’s Frozen and Frozen Fever, or to create new and exciting stories with these much-loved characters. Includes Elsa and Anna mini-dolls plus Olaf, Marshmallow and four Snowgies.
LEGO Disney Frozen building toys are compatible with all LEGO construction sets for creative building
Elsa's Magical Ice Palace measures over 12” high, 11” wide and 7” deep. Playground with snow fort measures over 2” high, 7” wide and 1” deep. Sleigh with carriages measures over 4” long, 1” wide and under 1” high
701 pieces – For boys and girls between the ages of 5 and 12 years old",79.99,701.0,6-12,Average
Disney™,Cinderella's Dream Castle,"LEGO® l Disney Cinderella’s Dream Castle is the ultimate set to play out your fairytales, whether recreating scenes from Disney’s Cinderella or creating new stories of your own. With a grand dining room, bedroom, dressing area, kitchen, fireplace and balcony, there's so much to explore and hidden secrets to discover in this popular toy for kids. Get creative using the modular design to easily move and swap sections within the model, or rearrange the rooms of the castle and integrate them with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus a foal and 2 mice figures.
Includes Cinderella and Prince Charming mini-doll figures, plus a foal and 2 mice figures.
Features a modular 3-story castle, pumpkin patch, horse jump, and a cart that can be pulled by the foal.
Castle features a dining area with table and chairs, bedroom with opening secret compartment in the bed, turning fireplace with secret hiding place, balcony with revolving dancefloor, kitchen, dressing area with vanity, and a lounge area with chaise longue.
Accessory elements include a glass slipper tile, opening book, invitation tile, perfume bottles, jewel, hairbrush, hair bows, croissants, cookies, cheese, pumpkins, water bottle, cooking pot, pan and glasses.
Customize the set by easily swapping and rearranging internal features such as the throne, stove, vanity and bench.
Move and rearrange the rooms to create a new castle every time, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate scenes from Disney's Cinderella with these much-loved characters, or create new role-play stories of your own.
Help Cinderella and Prince Charming dance all night on the revolving dancefloor, then head to the kitchen to wash the dishes.
Take care of the foal and attach the cart to help him pull it along!
This popular toy for kids is suitable for ages 6-12.
Cinderella's Dream Castle measures over 13” (34cm) high, 9” (25cm) wide and 4” (12cm) deep.
Cart (without horse) measures over 1” (4cm) high, 3” (9cm) long and 1” (5cm) wide.",69.99,585.0,6-12,Challenging
Disney™,Ariel's Royal Celebration Boat,"LEGO® l Disney Ariel’s Royal Celebration Boat has everything you need to play out a happy ending for Disney’s The Little Mermaid’s Ariel and Prince Eric. Dance on the revolving dancefloor under the gazebo, spin Sebastian’s starfish decks, discover secret treasure and launch the colored firework bricks. Get creative using the modular design of this great children's toy to easily move and swap sections within the model, or integrate the gazebo with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus Sebastian and Max figures.
Includes 2 mini-doll figures: Prince Eric and Ariel with her dress and white fabric cape, plus Sebastian the crab and Max the dog figures.
Ariel’s Royal Celebration Boat features a gazebo with revolving dancefloor, ship’s wheel, vanity desk and firework launcher, plus a dock and Sebastian's island with turning starfish decks.
Accessory elements include a cake, glasses, crown, treasure chest, jewel, telescope, Ursula's contract tile, trident, hair bow, bone, firework pieces and a perfume bottle.
Customize this great children's toy by easily swapping and rearranging internal features such as the vanity, cake table and drinks table.
Move and rearrange the gazebo and dock to customize the boat, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate the final wedding scenes from Disney's The Little Mermaid on this ornate boat full of features and secret places.
Help Ariel get ready for new adventures at the vanity desk, then put on her white wedding cape.
Spin Sebastian’s starfish and help Eric and Ariel dance on the revolving dancefloor, then launch the colorful firework pieces as the celebrations continue!
Suitable for ages 6-12.
Ariel’s Royal Celebration Boat measures over 6” (16cm) high, 9” (23cm) long and 4” (11cm) wide.
Sebastian's island measures over 1” (4cm) high, 1” (4cm) wide and 1” (4cm) deep.",49.99,380.0,6-12,Average
Disney™,Moana’s Ocean Voyage,"Discover the vibrant world of Disney’s Moana and join her on her epic adventure to bring back the heart of Te Fiti and restore harmony. This beautiful sailboat with opening storage under the deck, and island with transformation function, are perfect for recreating iconic scenes from the movie or creating new stories by the sea. Features a Moana mini-doll, Maui big figure, Heihei and two Kakamora.
Build Disney Princess Moana’s Ocean Voyage canoe with sail, opening deck, and a transforming Island of Te Fiti!
Featured in the award-winning Disney movie: Moana
Includes Moana mini-doll figure, Maui big figure, HeiHei the rooster, two buildable Kakamora pirates, plus a map, a catapult for the Kakamora, and the Heart of Te Fiti
LEGO Disney Princess building toys are compatible with all LEGO construction sets for creative building
Moana's boat measures over 6” high, 5” long and 5” wide, Island of Te Fiti measures over 4” high, 6” long and 1” deep
307 pieces – For boys and girls between the ages of 6 and 12 years old",39.99,307.0,6-12,Easy
Disney™,Sleeping Beauty's Fairytale Castle,"LEGO® l Disney Sleeping Beauty’s Fairytale Castle is easy to build and perfect for playing out favorite moments from Disney’s Sleeping Beauty. There’s a bedroom, spinning wheel, vanity and a special birthday cake. Maleficent’s lair adds drama and excitement to the role-play action. Get creative using the modular design of this fun toy to easily move and swap sections within the model, or rearrange the rooms of the castle and integrate them with other compatible LEGO l Disney toys to build your own dream creations. Includes 2 mini-doll figures plus Merryweather and bunny figures.
Includes Aurora and Maleficent mini-doll figures, plus a good fairy and a bunny figure.
Features a modular Fairytale Castle with a balcony, vanity and a bed with hidden storybook tile, plus Maleficent’s lair with throne.
Accessory elements include a magic wand, crown, spinning wheel, hair bow, flowers, cake, mixing bowl, scissors, hairbrush, perfume bottle, basket, carrot, cherries and Maleficent's staff.
Customize the set by easily swapping and rearranging internal features such as the spinning wheel, vanity and cake table.
Move and rearrange the rooms and Maleficent’s lair to create a new castle every time, or combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Recreate favorite moments from Disney's Sleeping Beauty with iconic details such as the spinning wheel, giant cake and birthday dress decoration.
Create your own stories about life in the castle with this fun toy, and discover a secret storybook tile under Aurora’s bed.
Suitable for ages 6-12.
Sleeping Beauty’s Fairytale Castle measures over 11” (29cm) high, 4” (12cm) wide and 2” (6cm) deep.
Maleficent’s lair measures over 4” (11cm) high, 2” (6cm) wide and 2” (6cm) deep.",39.99,322.0,6-12,Easy
Disney™,Cinderella's Enchanted Evening,"Reenact scenes from the iconic Disney movie, Cinderella, with this easy-to-build model. Play with Cinderella in her house with kitchen and upstairs sleeping area. Then change her into her ball gown and go to the ball in the carriage—and take off the roof for easy play inside with 2 seats for Cinderella and her Fairy Godmother. Includes 2 mini-doll figures, plus 2 figures: a horse and a mouse.
Includes 2 mini-doll figures from Disney’s Cinderella: Cinderella with switchable skirts and the Fairy Godmother, plus 2 animal figures: a horse and a mouse. • Features Cinderella’s Carriage, Cinderella’s house with 2 stories, and a revolving stand for her ball gown. • Cinderella’s Carriage sits 2 mini-doll figures and features a removable roof for easy play inside, opening door and an opening chest. • Cinderella’s house features an opening door and windows, downstairs kitchen area with sink and table, and a sleeping area upstairs. • Accessory elements include an invitation, 2 keys, magic wand, broom, hairbrush, scissors, plate with food and a piece of cheese. • Play and sing all day with Cinderella and her little mouse friend, as they do their chores around the house. • Help the Fairy Godmother transform Cinderella’s rags to a ball gown and show her around her amazing horse-drawn carriage. • Play out your favorite scenes from the movie or create new stories of your own with these much-loved characters. • Cinderella’s carriage measures over 4” (11cm) high, 9” (24cm) long and 2” (7cm) wide. • Cinderella’s house measures over 5” (14 cm) high, 4” (11cm) wide and 1” (5cm) deep.",39.99,350.0,6-12,Average
Disney™,Ariel and the Magical Spell,"Slide back the glass door and step inside Disney Princess™ Ariel’s Cave. Swim over to Ursula’s grotto and place Ariel at the revolving stand to reveal her human legs. This set is easy to build and perfect for fans of Disney’s The Little Mermaid to reenact their favorite scenes or create new stories of their own. Includes 2 mini-doll figures plus a Flounder figure.
Build the LEGO Disney Ariel’s cave featuring a sliding door, a treasure chest, and even a hideout for Flounder!
Featured in the critically acclaimed Walt Disney Studio’s classic: The Little Mermaid
Includes Ariel with switchable mermaid tail or legs and Ursula mini-doll figures
LEGO Disney Princess building toys are compatible with all LEGO construction sets for creative building
Ariel’s cave measures 5 inches high, 5 inches wide and 3 inches deep. Ursula’s grotto measures 3 inches high, 3 inches wide and 3 inches deep.
222 pieces – For girls and boys between the ages of 5 and 12 years old",29.99,222.0,5-12,Average
Disney™,Mulan's Training Day,"LEGO® l Disney Mulan’s Training Day is easy to build and perfect for recreating favorite moments from the movie. Train hard using the turning training dummy, and sword and catapult with boulders, before taking a break with her foal, Khan. This LEGO® l Disney toy for girls and boys includes lots of beautiful and authentic details, including Mulan's yellow dress, her fan and a tea ceremony. Get creative using the modular design to easily move and swap sections within the model, or integrate the family temple with other compatible LEGO l Disney sets to build your own dream creations. Includes a mini-doll figure plus a horse figure.
Includes a Mulan mini-doll figure, plus Khan the horse figure.
Features a family temple, turning training dummy, catapult, tea ceremony and a cherry blossom tree.
Accessory elements include a sword, boulders, fan, teapot and a teacup.
Customize the set by easily swapping and rearranging internal features such as the tea ceremony, catapult and cherry blossom tree.
Combine, swap and mix this model with other compatible LEGO® l Disney toys to build your own dream creations.
Take aim at the training dummy with the catapult, and use the turn function to make it spin as Mulan practices her sword skills.
Help Mulan perform a tea ceremony and cool her down with the cute fan.
This toy for girls and boys is suitable for ages 5-12.
Family Temple measures over 4” (12cm) high, 2” (6cm) wide and 2” (6cm) deep.",14.99,104.0,5-12,Average
